transaction_id,customer_id,timestamp,amount,merchant_name,merchant_category,location,payment_method,is_fraud,hour
TXN_00008658,CUST_000951,09:36.1,2.37,Krueger Inc - Gas Station,Gas Station,"Torresville, Wisconsin",Online Banking,1,1
TXN_00003322,CUST_000203,14:33.2,2854.37,Suspicious Merchant - Online Shopping,Department Store,"Michaelborough, Mississippi",Mobile App,1,1
TXN_00003751,CUST_000930,26:33.4,4315.22,Soto PLC - Gas Station,Gas Station,"Brownborough, Maine",Debit Card,1,1
TXN_00003062,CUST_000146,30:33.1,74.92,"Brown, Stuart and Williamson - Grocery",Grocery,"New Johnton, Rhode Island",Mobile App,0,1
TXN_00006696,CUST_000802,30:34.9,292.54,Arnold-Kelley - ATM,ATM,"New Joseph, New Hampshire",Credit Card,0,1
TXN_00008365,CUST_000475,32:36.0,225.51,Murphy PLC - Airlines,Airlines,"Williamsmouth, Texas",Credit Card,0,1
TXN_00008917,CUST_000356,37:36.3,260.76,Wright-Arnold - Hotel,Hotel,"North Donna, California",Online Banking,0,1
TXN_00001057,CUST_000333,42:32.0,21.57,"Taylor, Phillips and Rice - Restaurant",Restaurant,"Lisashire, Nevada",Online Banking,0,1
TXN_00003361,CUST_000786,42:33.2,86.91,Lee Group - Grocery,Grocery,"Smithstad, Tennessee",Mobile App,0,1
TXN_00007628,CUST_000379,47:35.5,93.08,Bennett-Martin - Hotel,Hotel,"Aaronchester, Kentucky",Debit Card,0,1
TXN_00002236,CUST_000466,51:32.7,299.07,"Briggs, Conner and Flores - Airlines",Airlines,"Blaketon, Texas",Mobile App,0,1
TXN_00003078,CUST_000703,19:33.1,79.19,Crawford-Burch - Grocery,Grocery,"New Scott, Alabama",Debit Card,0,2
TXN_00002373,CUST_000446,26:32.8,43.79,Turner and Sons - Airlines,Airlines,"Sototown, Wisconsin",Debit Card,0,2
TXN_00003949,CUST_000816,29:33.5,123.73,Grimes-Walsh - Hotel,Hotel,"Kristinashire, Maine",Online Banking,0,2
TXN_00004812,CUST_000055,29:34.1,92.31,Sanders-Jenkins - Restaurant,Restaurant,"Rebeccamouth, Georgia",Debit Card,0,2
TXN_00006479,CUST_000740,33:34.9,272.99,"Serrano, Perez and Diaz - Hotel",Hotel,"Vegaberg, Hawaii",Mobile App,0,2
TXN_00009141,CUST_000622,37:36.4,284.95,"Johnson, Taylor and Jensen - ATM",ATM,"New Brian, Utah",Mobile App,0,2
TXN_00009907,CUST_000680,44:36.7,91.3,"Burgess, Mendez and Rush - Department Store",Department Store,"Jonathanbury, Washington",Mobile App,0,2
TXN_00007414,CUST_000345,45:35.4,82.31,Gardner Group - ATM,ATM,"Port Krystalshire, West Virginia",Credit Card,0,2
TXN_00008854,CUST_000435,48:36.2,384.31,Miller LLC - Online Shopping,Online Shopping,"Pennyburgh, Oregon",Debit Card,0,2
TXN_00005726,CUST_000988,49:34.5,2970.85,"Koch, Lee and Austin - Pharmacy",Pharmacy,"South Eric, New Mexico",Online Banking,1,2
TXN_00007050,CUST_000325,52:35.1,4.32,"Klein, Gilbert and Torres - Restaurant",Restaurant,"Simmonsborough, North Dakota",Online Banking,1,2
TXN_00006128,CUST_000062,53:34.7,261.74,"Morrow, Wright and Nixon - ATM",ATM,"Johnsonview, Georgia",Mobile App,0,2
TXN_00000688,CUST_000993,54:31.9,76.63,Wagner PLC - Restaurant,Restaurant,"Shortshire, South Dakota",Mobile App,0,2
TXN_00001839,CUST_000705,57:32.5,313.18,Carpenter-Morrow - Online Shopping,Online Shopping,"Port Kellyfurt, Florida",Mobile App,0,2
TXN_00003863,CUST_000665,58:33.5,310.11,Johnson PLC - Online Shopping,Online Shopping,"Lake Kim, Oklahoma",Mobile App,0,2
TXN_00000729,CUST_000369,00:31.9,2137.93,Suspicious Merchant - Online Shopping,Department Store,"Tanyaport, Georgia",Credit Card,1,3
TXN_00009243,CUST_000217,13:36.5,89.84,Hart Inc - Department Store,Department Store,"Wyattland, Colorado",Mobile App,0,3
TXN_00005744,CUST_000386,14:34.5,160.28,"Randolph, Cooper and Parker - Pharmacy",Pharmacy,"Waltersshire, Alabama",Mobile App,0,3
TXN_00000086,CUST_000407,16:31.6,71.53,Montgomery-Harris - Gas Station,Gas Station,"West Mary, Maine",Debit Card,0,3
TXN_00001805,CUST_000315,18:32.5,143.16,Bright-Davis - ATM,ATM,"Chadside, Delaware",Online Banking,0,3
TXN_00006407,CUST_000334,18:34.8,1890.76,"Howard, Davidson and Young - Airlines",Airlines,"South Alexandra, Arizona",Credit Card,1,3
TXN_00002294,CUST_000776,29:32.8,176.58,Lutz-Shepherd - Airlines,Airlines,"East Kimberly, New Jersey",Debit Card,0,3
TXN_00002568,CUST_000593,29:32.9,24.51,Carter Group - Hotel,Hotel,"Gregoryport, New Hampshire",Credit Card,0,3
TXN_00001172,CUST_000667,38:32.1,79.07,Compton and Sons - Grocery,Grocery,"Ingramberg, North Dakota",Debit Card,0,3
TXN_00006051,CUST_000433,38:34.6,37.43,Robinson LLC - Gas Station,Gas Station,"Leahmouth, West Virginia",Debit Card,0,3
TXN_00008250,CUST_000032,39:35.9,33.45,Choi PLC - ATM,ATM,"Kurtside, Hawaii",Online Banking,0,3
TXN_00009758,CUST_000842,48:36.6,29.57,Brown PLC - Hotel,Hotel,"West Travisfort, Kentucky",Mobile App,0,3
TXN_00003800,CUST_000401,50:33.5,206.7,Estrada-Melendez - Pharmacy,Pharmacy,"New David, Alaska",Mobile App,0,3
TXN_00005810,CUST_000088,52:34.6,67.56,Randall-Sherman - Grocery,Grocery,"Diazside, Nevada",Mobile App,0,3
TXN_00004618,CUST_000149,54:33.9,2644.78,"Young, Gardner and Mata - Grocery",Grocery,"Kruegerberg, Maryland",Mobile App,1,3
TXN_00000658,CUST_000423,55:31.8,3.23,Suspicious Merchant - Online Shopping,Airlines,"Raymouth, Nebraska",Credit Card,1,3
TXN_00004134,CUST_000190,57:33.6,4382.22,Suspicious Merchant - Online Shopping,Restaurant,"West Brittanyport, Mississippi",Mobile App,1,3
TXN_00008287,CUST_000613,58:35.9,210.33,"Jackson, Murphy and Roach - Hotel",Hotel,"Stephanieshire, Nebraska",Online Banking,0,3
TXN_00001758,CUST_000670,03:32.5,97.86,Dyer Group - Department Store,Department Store,"North Susanfort, Wisconsin",Online Banking,0,4
TXN_00005280,CUST_000335,04:34.3,128,"Moody, Pollard and Lawrence - Grocery",Grocery,"Scottstad, Virginia",Credit Card,0,4
TXN_00004934,CUST_000572,15:34.1,485.79,Wallace-Flores - Online Shopping,Online Shopping,"East Bryan, West Virginia",Mobile App,0,4
TXN_00004456,CUST_000189,17:33.8,74.96,Smith-Young - Restaurant,Restaurant,"Margaretborough, Vermont",Online Banking,0,4
TXN_00007102,CUST_000025,20:35.1,98.67,Cain Group - Department Store,Department Store,"Hernandezhaven, Idaho",Mobile App,0,4
TXN_00007223,CUST_000587,22:35.2,133.89,Shelton PLC - Airlines,Airlines,"Arroyoburgh, New York",Debit Card,0,4
TXN_00006962,CUST_000742,23:35.0,293.19,"Willis, Allison and May - Pharmacy",Pharmacy,"Toddburgh, Oklahoma",Debit Card,0,4
TXN_00008597,CUST_000965,23:36.1,145.41,"Martin, Evans and Martin - Airlines",Airlines,"Bennettton, Wyoming",Credit Card,0,4
TXN_00004971,CUST_000687,27:34.2,191.93,Allison-Martin - Pharmacy,Pharmacy,"Laurenfort, Georgia",Debit Card,0,4
TXN_00006871,CUST_000865,28:35.0,32.58,Smith-Mercer - Restaurant,Restaurant,"New Mandyhaven, Tennessee",Online Banking,0,4
TXN_00003474,CUST_000673,30:33.3,79.09,Buck-Jones - Gas Station,Gas Station,"Lake Betty, Indiana",Credit Card,0,4
TXN_00004176,CUST_000553,30:33.6,37.14,Hall PLC - Restaurant,Restaurant,"South Ronnie, Michigan",Debit Card,0,4
TXN_00006429,CUST_000667,40:34.8,101.63,Saunders-Ramirez - Department Store,Department Store,"East Catherinemouth, Kansas",Credit Card,0,4
TXN_00008897,CUST_000656,56:36.3,56.33,Bean PLC - Gas Station,Gas Station,"South William, Rhode Island",Debit Card,0,4
TXN_00007861,CUST_000718,00:35.6,66.56,"Curtis, Thompson and Meyers - Department Store",Department Store,"Garciafort, New York",Online Banking,0,5
TXN_00001960,CUST_000300,01:32.6,33.89,Thomas-White - Department Store,Department Store,"Lake Pamelahaven, Delaware",Credit Card,0,5
TXN_00001474,CUST_000132,04:32.3,57.95,Hill-Harris - Restaurant,Restaurant,"Lake Stephen, Hawaii",Debit Card,0,5
TXN_00002347,CUST_000299,04:32.8,116.29,Elliott and Sons - Restaurant,Restaurant,"West Jasonton, California",Online Banking,0,5
TXN_00003762,CUST_000411,16:33.5,145.29,Taylor Ltd - Grocery,Grocery,"Garrettchester, New Jersey",Debit Card,0,5
TXN_00003549,CUST_000382,17:33.3,1738.74,Goodman Group - Online Shopping,Online Shopping,"Lake Zacharyburgh, South Dakota",Credit Card,1,5
TXN_00009818,CUST_000481,18:36.6,4848.14,Suspicious Merchant - Online Shopping,Grocery,"North Rebeccaville, New Jersey",Mobile App,1,5
TXN_00000875,CUST_000648,23:32.0,288.67,Carroll-Jones - Pharmacy,Pharmacy,"Port Lydiaside, Arizona",Credit Card,0,5
TXN_00007586,CUST_000940,35:35.5,201.25,Juarez-Sexton - ATM,ATM,"Port Spencerfurt, Virginia",Credit Card,0,5
TXN_00006648,CUST_000234,38:34.9,253.5,Nguyen-Griffin - ATM,ATM,"New Angela, Florida",Debit Card,0,5
TXN_00007286,CUST_000591,38:35.3,5.33,Suspicious Merchant - Online Shopping,Gas Station,"Steelefort, Nebraska",Debit Card,1,5
TXN_00002899,CUST_000164,41:33.0,87.72,King-Lopez - Pharmacy,Pharmacy,"Allisonland, Ohio",Mobile App,0,5
TXN_00002621,CUST_000699,42:32.9,75.06,Maynard Group - Gas Station,Gas Station,"Matthewsmouth, Idaho",Mobile App,0,5
TXN_00000616,CUST_000869,45:31.8,33.95,Benson LLC - Restaurant,Restaurant,"Jefferystad, Pennsylvania",Debit Card,0,5
TXN_00008612,CUST_000408,46:36.1,70,Taylor Group - Gas Station,Gas Station,"New Mariamouth, South Dakota",Online Banking,0,5
TXN_00000813,CUST_000016,53:31.9,167.33,Wright-Simpson - Airlines,Airlines,"Lake Dana, Vermont",Online Banking,0,5
TXN_00001128,CUST_000198,54:32.1,113.92,Crawford-Lewis - Grocery,Grocery,"Port Emily, Alaska",Mobile App,0,5
TXN_00004140,CUST_000723,00:33.6,32.45,Nelson Group - Grocery,Grocery,"North Sarahton, Virginia",Online Banking,0,6
TXN_00007205,CUST_000965,04:35.2,127.73,"Garcia, Graham and Hughes - Department Store",Department Store,"Charlesfurt, Massachusetts",Debit Card,0,6
TXN_00000668,CUST_000483,07:31.9,132.94,Williamson-Moore - Pharmacy,Pharmacy,"Pettyside, Maine",Mobile App,0,6
TXN_00008191,CUST_000547,15:35.8,71.05,Lee Group - Grocery,Grocery,"West Rita, Georgia",Online Banking,0,6
TXN_00008690,CUST_000900,22:36.1,196.24,Williamson and Sons - ATM,ATM,"Jessicaview, West Virginia",Credit Card,0,6
TXN_00000648,CUST_000729,25:31.8,74.26,Austin-Lewis - Restaurant,Restaurant,"New Allisonmouth, New York",Debit Card,0,6
TXN_00001020,CUST_000661,26:32.0,161.98,"Beltran, Mueller and Alexander - Grocery",Grocery,"West Rebecca, South Carolina",Debit Card,0,6
TXN_00009812,CUST_000118,30:36.6,116.02,Mendez Ltd - Pharmacy,Pharmacy,"Richardton, New Jersey",Mobile App,0,6
TXN_00000318,CUST_000571,32:31.7,72.67,"Martinez, Avila and Dougherty - Restaurant",Restaurant,"Lake Christopher, Washington",Mobile App,0,6
TXN_00002577,CUST_000515,38:32.9,215.06,"Harris, Ross and Rich - Online Shopping",Online Shopping,"Gonzalezhaven, Vermont",Debit Card,0,6
TXN_00006516,CUST_000154,39:34.9,245.09,Russell PLC - Airlines,Airlines,"South Kellymouth, Texas",Credit Card,0,6
TXN_00002792,CUST_000233,44:33.0,40.88,Ware-Mendoza - Gas Station,Gas Station,"West Whitneychester, Minnesota",Mobile App,0,6
TXN_00009967,CUST_000112,46:36.7,187.71,Smith PLC - Online Shopping,Online Shopping,"Chadtown, Vermont",Debit Card,0,6
TXN_00005340,CUST_000697,48:34.3,134.37,"Jones, Maddox and Herring - ATM",ATM,"Lake Valerie, Rhode Island",Debit Card,0,6
TXN_00001651,CUST_000289,01:32.4,251,Browning Ltd - Hotel,Hotel,"West Jacksonport, Virginia",Online Banking,0,7
TXN_00004852,CUST_000837,01:34.1,157.43,Taylor Group - Airlines,Airlines,"Andersonchester, Louisiana",Mobile App,0,7
TXN_00001732,CUST_000038,04:32.5,43.44,Harding PLC - Restaurant,Restaurant,"South Carla, New Mexico",Mobile App,0,7
TXN_00004845,CUST_000628,04:34.1,122.26,Yates PLC - Hotel,Hotel,"Lake Cameron, Texas",Debit Card,0,7
TXN_00002388,CUST_000653,13:32.8,28.9,Perez Group - Restaurant,Restaurant,"Alexandrachester, Connecticut",Credit Card,0,7
TXN_00002454,CUST_000172,18:32.8,74.28,King and Sons - Department Store,Department Store,"New Amandachester, Idaho",Debit Card,0,7
TXN_00000716,CUST_000675,36:31.9,208.14,"Brown, Gutierrez and Hernandez - Department Store",Department Store,"Port Kimberlybury, West Virginia",Debit Card,0,7
TXN_00006683,CUST_000830,42:34.9,137.95,Lowe Ltd - Grocery,Grocery,"New Theresa, Wisconsin",Mobile App,0,7
TXN_00009367,CUST_000019,44:36.5,52.31,Richardson Inc - Hotel,Hotel,"Bowenchester, California",Mobile App,0,7
TXN_00001270,CUST_000513,46:32.2,222.84,Walsh LLC - Department Store,Department Store,"Rachelside, Oregon",Credit Card,0,7
TXN_00001374,CUST_000077,49:32.2,147.52,"Berry, Morse and Wilkinson - Pharmacy",Pharmacy,"Kevinport, Alaska",Debit Card,0,7
TXN_00001613,CUST_000880,59:32.4,174.81,"King, Sullivan and Hogan - Department Store",Department Store,"New Jasmine, Arkansas",Online Banking,0,7
TXN_00007289,CUST_000242,05:35.3,106.05,Ross Group - Airlines,Airlines,"Mckenziehaven, South Dakota",Debit Card,0,8
TXN_00002044,CUST_000850,11:32.6,313.24,Bell-Myers - Online Shopping,Online Shopping,"South Andreabury, Texas",Mobile App,0,8
TXN_00003706,CUST_000792,15:33.4,125.95,"Williams, Smith and Simmons - Online Shopping",Online Shopping,"Brooksborough, Mississippi",Mobile App,0,8
TXN_00001322,CUST_000373,18:32.2,200.87,Ferrell Group - Department Store,Department Store,"Riosstad, Vermont",Debit Card,0,8
TXN_00008970,CUST_000767,18:36.3,107.86,Nunez and Sons - Pharmacy,Pharmacy,"Davidstad, Idaho",Credit Card,0,8
TXN_00004720,CUST_000654,22:34.0,155.22,"Vasquez, Nguyen and Martinez - Grocery",Grocery,"Smithfurt, Alabama",Debit Card,0,8
TXN_00005556,CUST_000564,22:34.4,67.92,Perez-Spears - Gas Station,Gas Station,"Michaeltown, Maine",Mobile App,0,8
TXN_00004739,CUST_000097,23:34.0,121.58,Williams-Green - Pharmacy,Pharmacy,"Smithborough, Delaware",Credit Card,0,8
TXN_00001043,CUST_000136,26:32.0,83.01,Diaz Ltd - Restaurant,Restaurant,"Alanville, South Carolina",Online Banking,0,8
TXN_00004391,CUST_000870,27:33.8,65.47,Green PLC - Gas Station,Gas Station,"Valeriemouth, Hawaii",Debit Card,0,8
TXN_00000252,CUST_000355,31:31.6,90.17,"Murphy, Hill and Richardson - ATM",ATM,"Harrisview, Illinois",Online Banking,0,8
TXN_00000927,CUST_000855,47:32.0,109.41,Williams-Wagner - Pharmacy,Pharmacy,"Lake Dale, Hawaii",Online Banking,0,8
TXN_00001831,CUST_000334,58:32.5,88.12,"Ellis, Lee and Grimes - Department Store",Department Store,"Stephenland, Kansas",Online Banking,0,8
TXN_00005437,CUST_000809,14:34.4,38.31,Garcia Ltd - Restaurant,Restaurant,"Lake Charles, New York",Mobile App,0,9
TXN_00009672,CUST_000816,16:36.6,132.83,Daniels-Williams - Hotel,Hotel,"Pricemouth, Minnesota",Debit Card,0,9
TXN_00001894,CUST_000711,18:32.5,207.32,Robinson and Sons - Pharmacy,Pharmacy,"Taylorberg, California",Debit Card,0,9
TXN_00008067,CUST_000141,23:35.7,202.02,Cruz Inc - Airlines,Airlines,"Mitchellborough, Iowa",Credit Card,0,9
TXN_00009959,CUST_000433,24:36.7,171.09,Wall Inc - ATM,ATM,"Montesbury, Illinois",Online Banking,0,9
TXN_00003757,CUST_000094,44:33.4,70.04,Hall-Miller - Restaurant,Restaurant,"Fosterburgh, Vermont",Online Banking,0,9
TXN_00001572,CUST_000386,50:32.4,140.2,"Hernandez, Deleon and Ramsey - Restaurant",Restaurant,"New Brandonbury, Texas",Online Banking,0,9
TXN_00002933,CUST_000416,57:33.1,22.6,Willis PLC - Department Store,Department Store,"Harrishaven, New Jersey",Online Banking,0,9
TXN_00001195,CUST_000733,58:32.1,198.67,Rodriguez-Hall - ATM,ATM,"North Gloria, Vermont",Credit Card,0,9
TXN_00003976,CUST_000024,02:33.6,99.36,Oneill-Ortega - Hotel,Hotel,"Brewerport, Washington",Mobile App,0,10
TXN_00004569,CUST_000362,07:33.8,117.55,"Ramos, Daniels and Stevens - Pharmacy",Pharmacy,"North Mark, New Jersey",Online Banking,0,10
TXN_00006439,CUST_000584,07:34.8,238.26,Goodman-Campbell - Department Store,Department Store,"Hintonmouth, Nebraska",Debit Card,0,10
TXN_00000400,CUST_000466,08:31.7,172.49,Meadows Inc - Grocery,Grocery,"West Jimmy, South Dakota",Credit Card,0,10
TXN_00006139,CUST_000214,09:34.7,493.93,Anderson Group - Online Shopping,Online Shopping,"Port Jessica, Texas",Debit Card,0,10
TXN_00004797,CUST_000524,18:34.1,99.45,Branch Group - Grocery,Grocery,"East Phillip, Louisiana",Mobile App,0,10
TXN_00004202,CUST_000520,19:33.7,127.68,"Rose, Gonzales and Young - Online Shopping",Online Shopping,"Annetteburgh, California",Credit Card,0,10
TXN_00000104,CUST_000259,21:31.6,33.7,Moore-Day - Gas Station,Gas Station,"Christophertown, Delaware",Credit Card,0,10
TXN_00007200,CUST_000929,24:35.2,40.61,Marks Group - Gas Station,Gas Station,"Port Michelle, Connecticut",Debit Card,0,10
TXN_00003513,CUST_000025,30:33.3,402.49,Walsh-Hart - Online Shopping,Online Shopping,"Jamesbury, Illinois",Mobile App,0,10
TXN_00005427,CUST_000348,36:34.4,104.04,Smith Ltd - Airlines,Airlines,"East Philipbury, Ohio",Debit Card,0,10
TXN_00003986,CUST_000767,38:33.6,41.42,Pacheco-Smith - ATM,ATM,"Curryborough, Connecticut",Online Banking,0,10
TXN_00005477,CUST_000511,38:34.4,257.46,Daniels-Garza - Hotel,Hotel,"North Walterberg, Montana",Online Banking,0,10
TXN_00005401,CUST_000891,40:34.3,47.46,Wade and Sons - Grocery,Grocery,"Port Aaron, New York",Debit Card,0,10
TXN_00006796,CUST_000868,42:35.0,30.29,Hughes-Martin - Gas Station,Gas Station,"South Jasonborough, Connecticut",Credit Card,0,10
TXN_00009910,CUST_000862,44:36.7,293.06,"Evans, Long and Rivera - ATM",ATM,"Dannychester, Kentucky",Online Banking,0,10
TXN_00003791,CUST_000536,53:33.5,144.29,Vaughn Inc - Hotel,Hotel,"Christophermouth, Connecticut",Credit Card,0,10
TXN_00005338,CUST_000052,56:34.3,68.9,Reyes-Smith - Restaurant,Restaurant,"East Peterport, New Mexico",Mobile App,0,10
TXN_00008066,CUST_000866,56:35.7,260.93,Johnson-Whitehead - Online Shopping,Online Shopping,"South Gary, Pennsylvania",Debit Card,0,10
TXN_00006416,CUST_000960,58:34.8,256.84,Ballard-Williams - Pharmacy,Pharmacy,"East Erica, Mississippi",Mobile App,0,10
